Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Brandon Aiyuk","WR","104","41","1","","0"
"Tre Harris","WR","105","42","1","","0"
"Tua Tagovailoa","QB","106","25","1","","0"
"Josh Downs","WR","107","43","1","","0"
"Jayden Reed","WR","108","44","1","","0"
"Kyle Pitts","TE","109","11","1","","0"
"Travis Etienne","RB","110","30","1","","0"
"Khalil Shakir","WR","111","45","1","","0"
"Tyrone Tracy","RB","112","31","1","","0"
"Tony Pollard","RB","113","32","1","","0"
"Chris Godwin","WR","114","46","1","","0"
"Sam Darnold","QB","115","26","1","","0"
"David Njoku","TE","116","12","1","","0"
"Zach Charbonnet","RB","117","33","1","","0"
"Travis Kelce","TE","118","13","1","","0"
"Keon Coleman","WR","119","47","1","","0"
"Aaron Jones","RB","120","34","1","","0"
"Calvin Ridley","WR","121","48","1","","0"
"Trey Benson","RB","122","35","1","","0"
"Jack Bech","WR","123","49","1","","0"
"Anthony Richardson","QB","124","27","1","","0"
"Jakobi Meyers","WR","125","50","1","","0"
"Isaiah Likely","TE","126","14","1","","0"
"Bhayshul Tuten","RB","127","36","1","","0"
"Deebo Samuel","WR","128","51","1","","0"
"Geno Smith","QB","129","28","1","","0"
"Kyle Williams","WR","130","52","1","","0"
"Matthew Stafford","QB","131","29","1","","0"
"Evan Engram","TE","132","15","1","","0"
"Michael Pittman","WR","133","53","1","","0"
"Jauan Jennings","WR","134","54","1","","0"
"Jonnu Smith","TE","135","16","1","","0"
"Jaylen Warren","RB","136","37","1","","0"
"Jake Ferguson","TE","137","17","1","","0"
"Jaydon Blue","RB","138","38","1","","0"
"Mason Taylor","TE","139","18","1","","0"
"Cooper Kupp","WR","140","55","1","","0"
"Najee Harris","RB","141","39","1","","0"
"Jalen Milroe","QB","142","30","1","","0"
"Stefon Diggs","WR","143","56","1","","0"
"Tyjae Spears","RB","144","40","1","","0"
"Javonte Williams","RB","145","41","1","","0"
"Jordan Mason","RB","146","42","1","","0"
"Darnell Mooney","WR","147","57","1","","0"
"Jalen McMillan","WR","148","58","1","","0"
"Marvin Mims","WR","149","59","1","","0"
"Rhamondre Stevenson","RB","150","43","1","","0"
"Shedeur Sanders","QB","151","31","1","","0"
"Tyler Shough","QB","152","32","1","","0"
"Rashid Shaheed","WR","153","60","1","","0"
"Tank Bigsby","RB","154","44","1","","0"
"Jaylin Noel","WR","155","61","1","","0"
"Xavier Legette","WR","156","62","1","","0"
"Dylan Sampson","RB","157","45","1","","0"
"Rachaad White","RB","158","46","1","","0"
"Pat Freiermuth","TE","159","19","1","","0"
"Terrance Ferguson","TE","160","20","1","","0"
"J.K. Dobbins","RB","161","47","1","","0"
"Isaac Guerendo","RB","162","48","1","","0"
"Dallas Goedert","TE","163","21","1","","0"
"Cade Otton","TE","164","22","1","","0"
"Rashod Bateman","WR","165","63","1","","0"
"Braelon Allen","RB","166","49","1","","0"
"Devin Neal","RB","167","50","1","","0"
"Elijah Arroyo","TE","168","23","1","","0"
"Ray Davis","RB","169","51","1","","0"
"Cedric Tillman","WR","170","64","1","","0"
"Jaylen Wright","RB","171","52","1","","0"
"Brenton Strange","TE","172","24","1","","0"
"Jalen Royals","WR","173","65","1","","0"
"Pat Bryant","WR","174","66","1","","0"
"Harold Fannin","TE","175","25","1","","0"
"Tyler Allgeier","RB","176","53","1","","0"
"Russell Wilson","QB","177","33","1","","0"
"Elic Ayomanor","WR","178","67","1","","0"
"Aaron Rodgers","QB","179","34","1","","0"
"Wan'Dale Robinson","WR","180","68","1","","0"
"Blake Corum","RB","181","54","1","","0"
"Christian Kirk","WR","182","69","1","","0"
"Jalen Coker","WR","183","70","1","","0"
"Quentin Johnston","WR","184","71","1","","0"
"DJ Giddens","RB","185","55","1","","0"
"Hollywood Brown","WR","186","72","1","","0"
"Will Howard","QB","187","35","1","","0"
"Ollie Gordon","RB","188","56","1","","0"
"Jarquez Hunter","RB","189","57","1","","0"
"Ja'Tavion Sanders","TE","190","26","1","","0"
"Rico Dowdle","RB","191","58","1","","0"
"Adonai Mitchell","WR","192","73","1","","0"
"Ben Sinnott","TE","193","27","1","","0"
"Tank Dell","WR","194","74","1","","0"
"Daniel Jones","QB","195","36","1","","0"
"Jordan James","RB","196","59","1","","0"
"DeMario Douglas","WR","197","75","1","","0"
"Romeo Doubs","WR","198","76","1","","0"
"Trevor Etienne","RB","199","60","1","","0"
"Isaac TeSlaa","WR","200","77","1","","0"
"MarShawn Lloyd","RB","201","61","1","","0"
"Jonathon Brooks","RB","202","62","1","","0"
"Hunter Henry","TE","203","28","1","","0"
"Theo Johnson","TE","204","29","1","","0"
"Woody Marks","RB","205","63","1","","0"
"Roschon Johnson","RB","206","64","1","","0"
"Austin Ekeler","RB","207","65","1","","0"
"Jerome Ford","RB","208","66","1","","0"
"Chig Okonkwo","TE","209","30","1","","0"
"Nick Chubb","RB","210","67","1","","0"
"Tory Horton","WR","211","78","1","","0"
"Brashard Smith","RB","212","68","1","","0"
"Roman Wilson","WR","213","79","1","","0"
"Zach Ertz","TE","214","31","1","","0"
"Joshua Palmer","WR","215","80","1","","0"
"Kyle Monangai","RB","216","69","1","","0"
"Joe Milton","QB","217","37","1","","0"
"Mike Gesicki","TE","218","32","1","","0"
"Cole Kmet","TE","219","33","1","","0"
"Dont'e Thornton","WR","220","81","1","","0"
"Jacory Croskey-Merritt","RB","221","70","1","","0"
"Tahj Brooks","RB","222","71","1","","0"
"Xavier Restrepo","WR","223","82","1","","0"
"Alec Pierce","WR","224","83","1","","0"
"Troy Franklin","WR","225","84","1","","0"
"Adam Thielen","WR","226","85","1","","0"
"Oronde Gadsden","TE","227","34","1","","0"
"Keaton Mitchell","RB","228","72","1","","0"
"Dalton Schultz","TE","229","35","1","","0"
"Kendre Miller","RB","230","73","1","","0"
"Will Shipley","RB","231","74","1","","0"
"Noah Gray","TE","232","36","1","","0"
"Quinn Ewers","QB","233","38","1","","0"
"Dillon Gabriel","QB","234","39","1","","0"
"Tai Felton","WR","235","86","1","","0"
"Spencer Rattler","QB","236","40","1","","0"
"Jaylin Lane","WR","237","87","1","","0"
"Dontayvion Wicks","WR","238","88","1","","0"
"Keenan Allen","WR","239","89","1","","0"
"Michael Wilson","WR","240","90","1","","0"
"Joe Flacco","QB","241","41","1","","0"
"Kirk Cousins","QB","242","42","1","","0"
"Audric Estime","RB","243","75","1","","0"
"Savion Williams","WR","244","91","1","","0"
"DeAndre Hopkins","WR","245","92","1","","0"
"Jordan Whittington","WR","246","93","1","","0"
"Andrei Iosivas","WR","247","94","1","","0"
"Gunnar Helm","TE","248","37","1","","0"
"Damien Martinez","RB","249","76","1","","0"
"Kareem Hunt","RB","250","77","1","","0"
"Amari Cooper","WR","251","95","1","","0"
"Justice Hill","RB","252","78","1","","0"
"Chimere Dike","WR","253","96","1","","0"
"Christian Watson","WR","254","97","1","","0"
"Jimmy Horn","WR","255","98","1","","0"
"Sean Tucker","RB","256","79","1","","0"
"Kayshon Boutte","WR","257","99","1","","0"
"Calvin Austin","WR","258","100","1","","0"
"Michael Mayer","TE","259","38","1","","0"
"Miles Sanders","RB","260","80","1","","0"
"Dyami Brown","WR","261","101","1","","0"
"Arian Smith","WR","262","102","1","","0"
"Juwan Johnson","TE","263","39","1","","0"
"Malik Washington","WR","264","103","1","","0"
"Isaiah Davis","RB","265","81","1","","0"
"Elijah Moore","WR","266","104","1","","0"
"Luke McCaffrey","WR","267","105","1","","0"
"Tyler Lockett","WR","268","106","1","","0"
"Diontae Johnson","WR","269","107","1","","0"
"Jaleel McLaughlin","RB","270","82","1","","0"
"KeAndre Lambert-Smith","WR","271","108","1","","0"
"Efton Chism","WR","272","109","1","","0"
"Riley Leonard","QB","273","43","1","","0"
"Phil Mafah","RB","274","83","1","","0"
"Isaiah Bond","WR","275","110","1","","0"
"AJ Dillon","RB","276","84","1","","0"
"Darius Slayton","WR","277","111","1","","0"
"Elijah Mitchell","RB","278","85","1","","0"
"Kalel Mullings","RB","279","86","1","","0"
"Tez Johnson","WR","280","112","1","","0"
"Jermaine Burton","WR","281","113","1","","0"
"Noah Fant","TE","282","40","1","","0"
"Sam Howell","QB","283","44","1","","0"
"Nick Nash","WR","284","114","1","","0"
"LeQuint Allen","RB","285","87","1","","0"
"Zach Wilson","QB","286","45","1","","0"
"Raheem Mostert","RB","287","88","1","","0"
"Tutu Atwell","WR","288","115","1","","0"
"Dameon Pierce","RB","289","89","1","","0"
"Tyler Higbee","TE","290","41","1","","0"
"Ja'Lynn Polk","WR","291","116","1","","0"
"Luke Musgrave","TE","292","42","1","","0"
"Jameis Winston","QB","293","46","1","","0"
"Zack Moss","RB","294","90","1","","0"
"Tre Tucker","WR","295","117","1","","0"
"Kenny Pickett","QB","296","47","1","","0"
"Tyler Conklin","TE","297","43","1","","0"
"Jalen Tolbert","WR","298","118","1","","0"
"Khalil Herbert","RB","299","91","1","","0"
"Malachi Corley","WR","300","119","1","","0"
